Name,GENC,Year,Population,Male Population,Female Population,Annual Growth Rate,Population Density,"Median Age, Both Sexes","Median Age, Females","Median Age, Males",Total Fertility Rate,"Life Expectancy at Birth, Both Sexes","Life Expectancy at Birth, Males","Life Expectancy at Birth, Females","Infant Mortality Rate, Both Sexes","Infant Mortality Rate, Male","Infant Mortality Rate, Female"
Saudi Arabia,SA,2001,"21,861,634","12,212,224","9,649,410",2.25,10.2,21.5,18.9,23.7,3.89,72.3,71,73.7,20.7,22.2,19.2
United Arab Emirates,AE,2001,"3,402,348","2,319,672","1,082,676",4.74,40.7,29.4,23.8,31.2,2.52,76.2,74.8,77.6,9.9,11,8.8
Bahrain,BH,2002,"714,832","410,994","303,838",9.19,940.6,27.9,25.2,29.6,2.48,75.4,73.5,77.4,15.6,17.9,13.2
Kuwait,KW,2002,"2,083,269","1,231,221","852,048",2.69,116.9,27.4,24.8,28.9,2.57,75.1,73.8,76.4,10.7,11,10.4
Oman,OM,2002,"2,540,520","1,432,805","1,107,715",2.08,8.2,21.2,18.8,23.5,3.52,72,70.2,74,22,23.3,20.7
Qatar,QA,2002,"703,382","465,554","237,828",4.54,60.7,30.3,24.1,32.6,2.8,76,74.4,77.7,9.4,9.6,9.2
Saudi Arabia,SA,2002,"22,342,525","12,435,198","9,907,327",2.11,10.4,21.9,19.3,24,3.68,72.5,71.2,73.8,20.1,21.6,18.6
United Arab Emirates,AE,2002,"3,555,027","2,426,155","1,128,872",4.06,42.5,29.4,24,31.3,2.47,76.3,75,77.8,9.6,10.6,8.5
Bahrain,BH,2003,"781,007","455,509","325,498",8.54,"1,027.60",28.3,25.6,29.8,2.45,75.6,74,77.2,15.2,17,13.4
Kuwait,KW,2003,"2,139,782","1,265,599","874,183",2.66,120.1,27.5,25,29,2.6,75.4,74.1,76.8,10.4,10.7,10.1
Oman,OM,2003,"2,592,927","1,457,666","1,135,261",2,8.4,21.6,19.2,23.7,3.32,72.3,70.5,74.2,21.7,22.9,20.4
Qatar,QA,2003,"735,643","487,596","248,047",4.43,63.5,30.5,24.6,32.8,2.8,76.2,74.5,78,9.3,9.6,8.9
Saudi Arabia,SA,2003,"22,801,189","12,644,223","10,156,966",1.96,10.6,22.3,19.9,24.3,3.46,72.7,71.4,74,19.6,21,18.1
United Arab Emirates,AE,2003,"3,693,043","2,520,035","1,173,008",3.57,44.2,29.5,24.2,31.3,2.48,76.5,75.1,77.9,9.3,10.2,8.2
Bahrain,BH,2004,"848,126","500,538","347,588",7.97,"1,116.00",28.7,26,30.1,2.34,75.9,74.4,77.4,14.9,16.6,13.1
Kuwait,KW,2004,"2,197,249","1,300,159","897,090",2.64,123.3,27.7,25.2,29.1,2.65,75,73.7,76.4,10.8,11.1,10.4
Oman,OM,2004,"2,644,368","1,482,021","1,162,347",1.93,8.5,22,19.7,24,3.15,72.5,70.7,74.5,21.3,22.6,20
Qatar,QA,2004,"825,458","560,257","265,201",17.82,71.2,30.5,25,32.4,2.6,76.4,74.7,78.2,9.2,9.5,8.8
Saudi Arabia,SA,2004,"23,234,774","12,838,039","10,396,735",1.81,10.8,22.7,20.4,24.6,3.25,72.8,71.6,74.2,19,20.4,17.6
United Arab Emirates,AE,2004,"3,819,555","2,603,968","1,215,587",3.17,45.7,29.5,24.3,31.3,2.46,76.6,75.3,78,9,9.9,8
Bahrain,BH,2005,"915,968","545,836","370,132",7.44,"1,205.20",29,26.4,30.4,2.18,76.5,74.8,78.1,14.2,15.9,12.4
Kuwait,KW,2005,"2,256,621","1,335,275","921,346",2.69,126.6,27.8,25.4,29.2,2.78,75.9,74.1,77.9,10,10.7,9.2
Oman,OM,2005,"2,695,191","1,506,055","1,189,136",1.88,8.7,22.3,20.1,24.2,3.01,72.8,70.9,74.7,20.9,22.2,19.6
Qatar,QA,2005,"972,560","683,362","289,198",15.13,83.9,30.4,25.5,32,2.32,76.6,74.9,78.4,8.9,9.2,8.5
Saudi Arabia,SA,2005,"23,640,681","13,015,442","10,625,239",1.66,11,23.2,21,25,3.04,73,71.7,74.4,18.4,19.8,17.1
United Arab Emirates,AE,2005,"3,935,820","2,679,427","1,256,393",2.83,47.1,29.5,24.5,31.3,2.4,76.8,75.4,78.1,8.6,9.6,7.7
Bahrain,BH,2006,"984,394","591,356","393,038",6.98,"1,295.30",29.5,26.8,30.8,1.96,77.1,75.2,79,13.6,15.5,11.6
Kuwait,KW,2006,"2,316,845","1,370,249","946,596",2.58,130,28,25.5,29.3,2.8,75.4,73.5,77.5,10.5,11.3,9.6
Oman,OM,2006,"2,745,973","1,530,074","1,215,899",1.86,8.9,22.7,20.5,24.5,2.92,73,71.1,75,20.5,21.8,19.1
Qatar,QA,2006,"1,119,975","806,533","313,442",13.19,96.7,30.6,26,32,2.18,76.8,75.1,78.6,8.7,9.1,8.3
Saudi Arabia,SA,2006,"24,290,219","13,384,962","10,905,257",3.74,11.3,23.7,21.6,25.4,2.82,73.2,71.9,74.6,17.9,19.2,16.6
United Arab Emirates,AE,2006,"4,458,540","3,084,947","1,373,593",20.95,53.3,29.7,24.9,31.4,2.22,76.9,75.6,78.3,8.4,9.2,7.4
Bahrain,BH,2007,"1,053,581","637,246","416,335",6.61,"1,386.30",29.9,27.2,31.2,2,77.9,75.7,80.2,12.7,14.7,10.5
Kuwait,KW,2007,"2,375,764","1,404,153","971,611",2.45,133.3,28.1,25.6,29.4,2.77,75.7,74.2,77.3,10.1,10.6,9.7
Oman,OM,2007,"2,797,440","1,554,461","1,242,979",1.86,9,23,21,24.8,2.87,73.3,71.4,75.3,20.1,21.4,18.7
Qatar,QA,2007,"1,268,369","930,177","338,192",11.75,109.5,30.8,26.5,32.1,2.17,77,75.2,78.8,8.5,8.9,8.1
Saudi Arabia,SA,2007,"25,200,107","13,954,479","11,245,628",3.62,11.7,24.3,22.2,26,2.77,73.4,72.1,74.7,17.4,18.6,16.1
United Arab Emirates,AE,2007,"5,532,409","3,952,658","1,579,751",21.94,66.2,30.1,25.6,31.7,2.01,77,75.7,78.4,8.1,8.9,7.2
Bahrain,BH,2008,"1,107,295","671,671","435,624",3.41,"1,457.00",30.2,27.5,31.5,1.96,77.8,75.7,79.9,12.8,14.7,10.8
Kuwait,KW,2008,"2,433,178","1,436,886","996,292",2.33,136.6,28.2,25.7,29.5,2.77,75.6,74,77.3,10.2,10.7,9.6
Oman,OM,2008,"2,850,375","1,579,631","1,270,744",1.89,9.2,23.4,21.4,25,2.85,73.5,71.6,75.5,19.6,20.9,18.3
Qatar,QA,2008,"1,418,131","1,054,425","363,706",10.61,122.4,31.1,26.9,32.3,2.17,77.2,75.4,79.1,8.4,8.9,7.9
Saudi Arabia,SA,2008,"26,115,002","14,523,068","11,591,934",3.51,12.1,24.8,22.8,26.5,2.71,73.5,72.3,74.9,16.9,18.1,15.6
United Arab Emirates,AE,2008,"7,159,278","5,280,198","1,879,080",28.5,85.6,30.5,26.2,31.9,1.81,77.2,75.9,78.5,7.8,8.6,6.9
Bahrain,BH,2009,"1,144,371","693,980","450,391",3.18,"1,505.80",30.4,27.7,31.7,1.94,77.9,75.9,80,12.6,14.4,10.7
Kuwait,KW,2009,"2,489,044","1,468,402","1,020,642",2.21,139.7,28.3,25.9,29.6,2.73,76.3,75,77.7,9.6,9.9,9.3
Oman,OM,2009,"2,905,436","1,605,933","1,299,503",1.94,9.4,23.7,21.8,25.2,2.86,73.8,71.9,75.8,19.1,20.4,17.8
Qatar,QA,2009,"1,568,790","1,179,002","389,788",9.62,135.4,31.4,27.3,32.5,2.07,77.4,75.5,79.3,8.3,8.7,7.9
Saudi Arabia,SA,2009,"27,035,739","15,091,254","11,944,485",3.42,12.6,25.4,23.4,26.9,2.65,73.7,72.4,75.1,16.4,17.6,15.2
United Arab Emirates,AE,2009,"8,032,709","5,982,037","2,050,672",-3.65,96.1,30.9,26.7,32.2,1.5,77.3,76,78.6,7.5,8.3,6.7
Bahrain,BH,2010,"1,180,087","715,472","464,615",2.97,"1,552.70",30.7,27.9,32,1.91,78.1,76,80.2,12.5,14.3,10.6
Kuwait,KW,2010,"2,543,299","1,498,773","1,044,526",2.1,142.7,28.4,26.1,29.7,2.69,76.9,75.9,78.1,9.1,9.2,9
Oman,OM,2010,"2,962,837","1,633,485","1,329,352",1.98,9.6,24,22.1,25.5,2.87,74,72.1,76,18.7,20,17.3
Qatar,QA,2010,"1,719,867","1,303,726","416,141",8.8,148.4,31.8,27.7,32.8,1.98,77.5,75.7,79.4,8.1,8.6,7.6
Saudi Arabia,SA,2010,"27,962,740","15,659,334","12,303,406",3.33,13,25.9,24,27.4,2.59,73.9,72.6,75.2,15.9,17.1,14.7
United Arab Emirates,AE,2010,"8,020,877","5,942,500","2,078,377",3.36,95.9,31.3,27.1,32.6,1.57,77.4,76.1,78.8,7.2,8,6.5
Bahrain,BH,2011,"1,214,703","736,373","478,330",2.81,"1,598.30",30.9,28.1,32.2,1.88,78.2,76.1,80.4,12.1,14,10.2
Kuwait,KW,2011,"2,595,865","1,527,937","1,067,928",1.99,145.7,28.5,26.2,29.8,2.65,77.1,76,78.3,9,9.1,8.8
Oman,OM,2011,"3,022,429","1,662,218","1,360,211",2.01,9.8,24.2,22.5,25.7,2.87,74.3,72.3,76.3,18.2,19.5,16.9
Qatar,QA,2011,"1,849,788","1,411,683","438,105",5.87,159.7,32,27.9,33.1,1.96,77.7,75.8,79.7,8,8.6,7.4
Saudi Arabia,SA,2011,"28,789,008","16,163,080","12,625,928",2.51,13.4,26.4,24.5,28,2.52,74.1,72.8,75.5,15.6,16.8,14.4
United Arab Emirates,AE,2011,"8,302,211","6,130,908","2,171,303",3.53,99.3,31.8,27.6,33.1,1.59,77.6,76.3,78.9,7,7.7,6.2
Bahrain,BH,2012,"1,248,334","756,770","491,564",2.65,"1,642.50",31.1,28.4,32.5,1.86,78.3,76.2,80.5,12.1,13.9,10.2
Kuwait,KW,2012,"2,646,670","1,555,836","1,090,834",1.89,148.5,28.6,26.4,29.9,2.61,77.3,76.1,78.5,8.8,8.9,8.6
Oman,OM,2012,"3,084,018","1,692,039","1,391,979",2.03,10,24.5,22.8,25.9,2.86,74.5,72.6,76.5,17.8,19.1,16.4
Qatar,QA,2012,"1,952,262","1,497,259","455,003",4.94,168.5,32.2,27.9,33.2,1.94,77.9,76,79.9,7.8,8.3,7.3
Saudi Arabia,SA,2012,"29,493,088","16,588,867","12,904,221",2.33,13.7,27,24.9,28.7,2.44,74.3,73,75.8,15.3,16.5,14
United Arab Emirates,AE,2012,"8,606,553","6,342,579","2,263,974",3.67,102.9,32.3,28.1,33.5,1.64,77.8,76.5,79.1,6.6,7.3,5.9
Bahrain,BH,2013,"1,281,297","776,773","504,524",2.56,"1,685.90",31.4,28.6,32.8,1.83,78.5,76.3,80.7,11.9,13.8,9.9
Kuwait,KW,2013,"2,695,800","1,582,540","1,113,260",1.79,151.3,28.8,26.6,30,2.57,77.5,76.3,78.7,8.6,8.8,8.5
Oman,OM,2013,"3,147,449","1,722,873","1,424,576",2.04,10.2,24.8,23.2,26,2.86,74.8,72.8,76.8,17.4,18.7,16
Qatar,QA,2013,"2,043,293","1,572,430","470,863",4.19,176.4,32.4,28,33.4,1.93,78.1,76.1,80.1,7.8,8.4,7.2
Saudi Arabia,SA,2013,"30,162,427","16,989,167","13,173,260",2.17,14,27.5,25.3,29.3,2.36,74.6,73.2,76,14.9,16.2,13.7
United Arab Emirates,AE,2013,"8,930,981","6,575,221","2,355,760",3.73,106.8,32.8,28.5,34,1.66,77.9,76.6,79.2,6.4,7,5.7
Bahrain,BH,2014,"1,314,023","796,591","517,432",2.48,"1,729.00",31.6,28.8,33,1.81,78.6,76.4,80.8,11.7,13.6,9.8
Kuwait,KW,2014,"2,743,334","1,608,113","1,135,221",1.7,154,28.9,26.8,30.1,2.53,77.7,76.4,79,8.5,8.7,8.3
Oman,OM,2014,"3,212,578","1,754,650","1,457,928",2.05,10.4,25,23.5,26.2,2.86,75,73.1,77,17,18.3,15.7
Qatar,QA,2014,"2,124,222","1,638,451","485,771",3.59,183.3,32.6,28,33.7,1.93,78.3,76.3,80.3,7.6,8.1,7.1
Saudi Arabia,SA,2014,"30,801,971","17,368,020","13,433,951",2.03,14.3,28,25.7,29.9,2.29,74.8,73.4,76.3,14.6,15.9,13.3
United Arab Emirates,AE,2014,"9,170,474","6,720,588","2,449,886",1.59,109.7,33.2,28.9,34.4,1.66,78.1,76.8,79.4,6.1,6.7,5.4
Bahrain,BH,2015,"1,346,509","816,233","530,276",2.4,"1,771.70",31.9,29.1,33.3,1.78,78.8,76.6,81,11.6,13.4,9.7
Kuwait,KW,2015,"2,789,302","1,632,595","1,156,707",1.62,156.5,29.1,27,30.2,2.49,77.9,76.6,79.2,8.4,8.6,8.1
Oman,OM,2015,"3,279,258","1,787,300","1,491,958",2.06,10.6,25.2,23.8,26.4,2.85,75.2,73.3,77.3,16.6,17.9,15.3
Qatar,QA,2015,"2,196,122","1,696,339","499,783",3.08,189.5,32.8,28.1,33.9,1.92,78.5,76.4,80.5,7.4,8,6.8
Saudi Arabia,SA,2015,"31,415,279","17,728,517","13,686,762",1.91,14.6,28.5,26.1,30.5,2.23,75,73.6,76.5,14.3,15.6,13
United Arab Emirates,AE,2015,"9,308,415","6,762,985","2,545,430",1.4,111.3,33.6,29.2,34.9,1.64,78.2,77,79.5,5.8,6.4,5.2
Bahrain,BH,2016,"1,378,755","835,689","543,066",2.33,"1,814.20",32.1,29.3,33.5,1.76,78.9,76.7,81.2,11.4,13.2,9.5
Kuwait,KW,2016,"2,833,699","1,656,008","1,177,691",1.54,159,29.2,27.2,30.3,2.45,78,76.7,79.4,8.2,8.5,8
Oman,OM,2016,"3,347,125","1,820,637","1,526,488",2.04,10.8,25.5,24.1,26.6,2.84,75.5,73.5,77.5,16.3,17.6,15
Qatar,QA,2016,"2,259,867","1,746,934","512,933",2.65,195.1,33,28.1,34.1,1.92,78.6,76.6,80.7,7.4,8.1,6.8
Saudi Arabia,SA,2016,"32,003,091","18,072,180","13,930,911",1.8,14.9,29,26.5,31.1,2.16,75.3,73.8,76.8,14,15.3,12.7
United Arab Emirates,AE,2016,"9,432,801","6,794,368","2,638,433",1.26,112.8,34,29.5,35.3,1.7,78.4,77.1,79.7,5.7,6.3,5.1
Bahrain,BH,2017,"1,410,746","854,930","555,816",2.26,"1,856.20",32.3,29.6,33.8,1.75,79,76.8,81.3,11.2,13,9.4
Kuwait,KW,2017,"2,876,506","1,678,365","1,198,141",1.46,161.4,29.3,27.4,30.4,2.4,78.2,76.8,79.6,8.1,8.4,7.8
